Date,Hostel Name,City,Country,Avg Bed Price (£),Occupancy
2022-01-06,Glasgow Charing Cross,Glasgow,United Kingdom,23.37,139
2022-01-06,Edinburgh Cowgate,Edinburgh,United Kingdom,28.17,116
2022-01-06,London Elephant & Castle,London,United Kingdom,29.38,107
2022-01-06,London Kensington Holland Park,London,United Kingdom,33.63,129
2022-01-06,York Micklegate,York,United Kingdom,28.45,77
2022-01-07,Brussels Grand Place,Brussels,Belgium,20.51,87
2022-01-07,Prague Charles Bridge,Prague,Czech Republic,33.6,93
2022-01-07,Berlin Kurfürstendamm,Berlin,Germany,27.76,99
2022-01-07,Athens Monastiraki,Athens,Greece,21.11,137
2022-01-07,Pisa Centrale,Pisa,Italy,17.93,130
2022-01-07,Warsaw Old Town,Warsaw,Poland,22.76,131
2022-01-07,Lisbon Bairro Alto,Lisbon,Portugal,26.93,107
2022-01-07,Bratislava Presidential Palace,Bratislava,Slovakia,25.21,112
2022-01-07,Barcelona Gothic,Barcelona,Spain,30.04,90
2022-01-07,Barcelona Passeig de Gracia,Barcelona,Spain,25.17,121
2022-01-07,"Calpe Seafront, Costa Blanca",Calpe,Spain,26.23,81
2022-01-07,Córdoba Mezquita Catedral,Cordoba,Spain,32.86,72
2022-01-07,Madrid Central,Madrid,Spain,30.79,86
2022-01-07,Glasgow Charing Cross,Glasgow,United Kingdom,32.35,117
2022-01-07,Edinburgh Cowgate,Edinburgh,United Kingdom,31.24,94
2022-01-07,London Elephant & Castle,London,United Kingdom,31.0,129
2022-01-07,London Kensington Holland Park,London,United Kingdom,32.2,142
2022-01-07,York Micklegate,York,United Kingdom,34.25,108
2022-01-08,Brussels Grand Place,Brussels,Belgium,31.32,134
2022-01-08,Prague Charles Bridge,Prague,Czech Republic,36.68,164
2022-01-08,Berlin Kurfürstendamm,Berlin,Germany,29.19,155
2022-01-08,Athens Monastiraki,Athens,Greece,27.67,103
2022-01-08,Pisa Centrale,Pisa,Italy,34.63,117
2022-01-08,Warsaw Old Town,Warsaw,Poland,42.25,124
2022-01-08,Lisbon Bairro Alto,Lisbon,Portugal,23.48,113
2022-01-08,Bratislava Presidential Palace,Bratislava,Slovakia,32.87,139
2022-01-08,Barcelona Gothic,Barcelona,Spain,31.79,148
2022-01-08,Barcelona Passeig de Gracia,Barcelona,Spain,28.15,139
2022-01-08,"Calpe Seafront, Costa Blanca",Calpe,Spain,31.51,160
2022-01-08,Córdoba Mezquita Catedral,Cordoba,Spain,31.51,141
2022-01-08,Madrid Central,Madrid,Spain,22.47,102
2022-01-08,Glasgow Charing Cross,Glasgow,United Kingdom,32.08,156
2022-01-08,Edinburgh Cowgate,Edinburgh,United Kingdom,25.67,143
2022-01-08,London Elephant & Castle,London,United Kingdom,36.77,164
2022-01-08,London Kensington Holland Park,London,United Kingdom,24.67,149
2022-01-08,York Micklegate,York,United Kingdom,32.65,164
2022-01-09,Brussels Grand Place,Brussels,Belgium,28.93,141
2022-01-09,Prague Charles Bridge,Prague,Czech Republic,27.99,141
2022-01-09,Berlin Kurfürstendamm,Berlin,Germany,30.81,131
2022-01-09,Athens Monastiraki,Athens,Greece,34.92,124
2022-01-09,Pisa Centrale,Pisa,Italy,30.06,153
2022-01-09,Warsaw Old Town,Warsaw,Poland,25.99,129
2022-01-09,Lisbon Bairro Alto,Lisbon,Portugal,20.47,155
2022-01-09,Bratislava Presidential Palace,Bratislava,Slovakia,35.98,131
2022-01-09,Barcelona Gothic,Barcelona,Spain,35.05,127
2022-01-09,Barcelona Passeig de Gracia,Barcelona,Spain,25.74,154
2022-01-09,"Calpe Seafront, Costa Blanca",Calpe,Spain,29.05,133
2022-01-09,Córdoba Mezquita Catedral,Cordoba,Spain,21.82,146
2022-01-09,Madrid Central,Madrid,Spain,26.65,145
2022-01-09,Glasgow Charing Cross,Glasgow,United Kingdom,32.63,115
2022-01-09,Edinburgh Cowgate,Edinburgh,United Kingdom,23.52,133
2022-01-09,London Elephant & Castle,London,United Kingdom,26.28,143
2022-01-09,London Kensington Holland Park,London,United Kingdom,30.88,163
2022-01-09,York Micklegate,York,United Kingdom,34.9,137
2022-01-10,Brussels Grand Place,Brussels,Belgium,27.8,120
2022-01-10,Prague Charles Bridge,Prague,Czech Republic,25.83,122
2022-01-10,Berlin Kurfürstendamm,Berlin,Germany,22.09,59
2022-01-10,Athens Monastiraki,Athens,Greece,29.15,119
2022-01-10,Pisa Centrale,Pisa,Italy,27.58,108
2022-01-10,Warsaw Old Town,Warsaw,Poland,22.64,97
2022-01-10,Lisbon Bairro Alto,Lisbon,Portugal,32.56,89
2022-01-10,Bratislava Presidential Palace,Bratislava,Slovakia,23.29,103
2022-01-10,Barcelona Gothic,Barcelona,Spain,32.37,94
2022-01-10,Barcelona Passeig de Gracia,Barcelona,Spain,20.34,135
2022-01-10,"Calpe Seafront, Costa Blanca",Calpe,Spain,31.67,135
2022-01-10,Córdoba Mezquita Catedral,Cordoba,Spain,21.56,135
2022-01-10,Madrid Central,Madrid,Spain,18.94,113
2022-01-10,Glasgow Charing Cross,Glasgow,United Kingdom,28.56,104
2022-01-10,Edinburgh Cowgate,Edinburgh,United Kingdom,18.8,150
2022-01-10,London Elephant & Castle,London,United Kingdom,27.52,98
2022-01-10,London Kensington Holland Park,London,United Kingdom,27.25,118
2022-01-10,York Micklegate,York,United Kingdom,23.32,114
2022-01-11,Brussels Grand Place,Brussels,Belgium,31.71,116
2022-01-11,Prague Charles Bridge,Prague,Czech Republic,23.99,109
2022-01-11,Berlin Kurfürstendamm,Berlin,Germany,25.19,95
2022-01-11,Athens Monastiraki,Athens,Greece,21.96,115
2022-01-11,Pisa Centrale,Pisa,Italy,25.68,112
2022-01-11,Warsaw Old Town,Warsaw,Poland,23.59,95
2022-01-11,Lisbon Bairro Alto,Lisbon,Portugal,27.16,103
2022-01-11,Bratislava Presidential Palace,Bratislava,Slovakia,22.21,107
2022-01-11,Barcelona Gothic,Barcelona,Spain,21.47,153
2022-01-11,Barcelona Passeig de Gracia,Barcelona,Spain,33.37,133
2022-01-11,"Calpe Seafront, Costa Blanca",Calpe,Spain,30.36,136
2022-01-11,Córdoba Mezquita Catedral,Cordoba,Spain,30.71,78
2022-01-11,Madrid Central,Madrid,Spain,30.39,123
2022-01-11,Glasgow Charing Cross,Glasgow,United Kingdom,34.44,89
2022-01-11,Edinburgh Cowgate,Edinburgh,United Kingdom,27.65,99
2022-01-11,London Elephant & Castle,London,United Kingdom,26.92,146
2022-01-11,London Kensington Holland Park,London,United Kingdom,32.02,94
2022-01-11,York Micklegate,York,United Kingdom,19.51,87
2022-01-12,Brussels Grand Place,Brussels,Belgium,26.65,133
2022-01-12,Prague Charles Bridge,Prague,Czech Republic,23.08,101
2022-01-12,Berlin Kurfürstendamm,Berlin,Germany,30.23,110
2022-01-12,Athens Monastiraki,Athens,Greece,30.99,91
2022-01-12,Pisa Centrale,Pisa,Italy,28.92,99
2022-01-12,Warsaw Old Town,Warsaw,Poland,26.35,116
2022-01-12,Lisbon Bairro Alto,Lisbon,Portugal,20.7,103
2022-01-12,Bratislava Presidential Palace,Bratislava,Slovakia,27.76,96
2022-01-12,Barcelona Gothic,Barcelona,Spain,18.42,158
2022-01-12,Barcelona Passeig de Gracia,Barcelona,Spain,27.04,97
2022-01-12,"Calpe Seafront, Costa Blanca",Calpe,Spain,20.12,114
2022-01-12,Córdoba Mezquita Catedral,Cordoba,Spain,32.61,122
2022-01-12,Madrid Central,Madrid,Spain,26.01,113
2022-01-12,Glasgow Charing Cross,Glasgow,United Kingdom,28.36,102
2022-01-12,Edinburgh Cowgate,Edinburgh,United Kingdom,24.48,120
2022-01-12,London Elephant & Castle,London,United Kingdom,34.38,149
2022-01-12,London Kensington Holland Park,London,United Kingdom,24.19,105
2022-01-12,York Micklegate,York,United Kingdom,29.64,107
2022-01-13,Brussels Grand Place,Brussels,Belgium,22.9,147
2022-01-13,Prague Charles Bridge,Prague,Czech Republic,27.4,81
2022-01-13,Berlin Kurfürstendamm,Berlin,Germany,33.58,157
2022-01-13,Athens Monastiraki,Athens,Greece,33.64,129
2022-01-13,Pisa Centrale,Pisa,Italy,33.9,144
2022-01-13,Warsaw Old Town,Warsaw,Poland,24.16,76
2022-01-13,Lisbon Bairro Alto,Lisbon,Portugal,19.75,127
2022-01-13,Bratislava Presidential Palace,Bratislava,Slovakia,22.18,90
2022-01-13,Barcelona Gothic,Barcelona,Spain,19.64,92
2022-01-13,Barcelona Passeig de Gracia,Barcelona,Spain,31.01,92
2022-01-13,"Calpe Seafront, Costa Blanca",Calpe,Spain,26.24,96
2022-01-13,Córdoba Mezquita Catedral,Cordoba,Spain,31.37,80
2022-01-13,Madrid Central,Madrid,Spain,38.56,103
2022-01-13,Glasgow Charing Cross,Glasgow,United Kingdom,26.72,134
2022-01-13,Edinburgh Cowgate,Edinburgh,United Kingdom,19.85,100
2022-01-13,London Elephant & Castle,London,United Kingdom,20.0,76
2022-01-13,London Kensington Holland Park,London,United Kingdom,27.13,133
2022-01-13,York Micklegate,York,United Kingdom,31.56,118
2022-01-14,Brussels Grand Place,Brussels,Belgium,20.38,82
2022-01-14,Prague Charles Bridge,Prague,Czech Republic,37.77,112
2022-01-14,Berlin Kurfürstendamm,Berlin,Germany,31.3,120
2022-01-14,Athens Monastiraki,Athens,Greece,16.88,79
2022-01-14,Pisa Centrale,Pisa,Italy,36.43,121
2022-01-14,Warsaw Old Town,Warsaw,Poland,27.7,110
2022-01-14,Lisbon Bairro Alto,Lisbon,Portugal,20.03,87
2022-01-14,Bratislava Presidential Palace,Bratislava,Slovakia,35.45,107
2022-01-14,Barcelona Gothic,Barcelona,Spain,31.64,113
2022-01-14,Barcelona Passeig de Gracia,Barcelona,Spain,31.4,115
2022-01-14,"Calpe Seafront, Costa Blanca",Calpe,Spain,24.33,135
2022-01-14,Córdoba Mezquita Catedral,Cordoba,Spain,34.89,131
2022-01-14,Madrid Central,Madrid,Spain,36.14,100
2022-01-14,Glasgow Charing Cross,Glasgow,United Kingdom,30.41,90
2022-01-14,Edinburgh Cowgate,Edinburgh,United Kingdom,24.51,121
2022-01-14,London Elephant & Castle,London,United Kingdom,26.27,101
2022-01-14,London Kensington Holland Park,London,United Kingdom,32.89,112
2022-01-14,York Micklegate,York,United Kingdom,28.16,120
2022-01-15,Brussels Grand Place,Brussels,Belgium,38.56,143
2022-01-15,Prague Charles Bridge,Prague,Czech Republic,29.68,153
2022-01-15,Berlin Kurfürstendamm,Berlin,Germany,33.39,162
2022-01-15,Athens Monastiraki,Athens,Greece,33.11,152
2022-01-15,Pisa Centrale,Pisa,Italy,31.08,164
2022-01-15,Warsaw Old Town,Warsaw,Poland,29.9,158
2022-01-15,Lisbon Bairro Alto,Lisbon,Portugal,31.19,152
2022-01-15,Bratislava Presidential Palace,Bratislava,Slovakia,32.81,143
2022-01-15,Barcelona Gothic,Barcelona,Spain,28.32,164
2022-01-15,Barcelona Passeig de Gracia,Barcelona,Spain,20.5,161
2022-01-15,"Calpe Seafront, Costa Blanca",Calpe,Spain,33.32,164
2022-01-15,Córdoba Mezquita Catedral,Cordoba,Spain,22.03,89
2022-01-15,Madrid Central,Madrid,Spain,24.08,149
2022-01-15,Glasgow Charing Cross,Glasgow,United Kingdom,27.48,164
2022-01-15,Edinburgh Cowgate,Edinburgh,United Kingdom,27.36,130
2022-01-15,London Elephant & Castle,London,United Kingdom,33.64,164
2022-01-15,London Kensington Holland Park,London,United Kingdom,22.6,123
2022-01-15,York Micklegate,York,United Kingdom,23.07,99
2022-01-16,Brussels Grand Place,Brussels,Belgium,38.31,161
2022-01-16,Prague Charles Bridge,Prague,Czech Republic,31.9,148
2022-01-16,Berlin Kurfürstendamm,Berlin,Germany,35.33,163
2022-01-16,Athens Monastiraki,Athens,Greece,30.62,147
2022-01-16,Pisa Centrale,Pisa,Italy,29.32,142
2022-01-16,Warsaw Old Town,Warsaw,Poland,31.77,157
2022-01-16,Lisbon Bairro Alto,Lisbon,Portugal,29.67,113
2022-01-16,Bratislava Presidential Palace,Bratislava,Slovakia,27.65,164
2022-01-16,Barcelona Gothic,Barcelona,Spain,27.22,163
2022-01-16,Barcelona Passeig de Gracia,Barcelona,Spain,34.9,125
2022-01-16,"Calpe Seafront, Costa Blanca",Calpe,Spain,41.0,121
2022-01-16,Córdoba Mezquita Catedral,Cordoba,Spain,29.35,104
2022-01-16,Madrid Central,Madrid,Spain,26.19,156
2022-01-16,Glasgow Charing Cross,Glasgow,United Kingdom,31.46,160
2022-01-16,Edinburgh Cowgate,Edinburgh,United Kingdom,26.24,142
2022-01-16,London Elephant & Castle,London,United Kingdom,34.96,151
2022-01-16,London Kensington Holland Park,London,United Kingdom,37.84,155
2022-01-16,York Micklegate,York,United Kingdom,34.14,164
2022-01-17,Brussels Grand Place,Brussels,Belgium,28.69,152
2022-01-17,Prague Charles Bridge,Prague,Czech Republic,22.95,75
2022-01-17,Berlin Kurfürstendamm,Berlin,Germany,30.97,108
2022-01-17,Athens Monastiraki,Athens,Greece,28.01,148
2022-01-17,Pisa Centrale,Pisa,Italy,21.43,125
2022-01-17,Warsaw Old Town,Warsaw,Poland,33.5,83
2022-01-17,Lisbon Bairro Alto,Lisbon,Portugal,25.16,108
2022-01-17,Bratislava Presidential Palace,Bratislava,Slovakia,26.99,106
2022-01-17,Barcelona Gothic,Barcelona,Spain,23.23,117
2022-01-17,Barcelona Passeig de Gracia,Barcelona,Spain,26.86,105
2022-01-17,"Calpe Seafront, Costa Blanca",Calpe,Spain,23.4,123
2022-01-17,Córdoba Mezquita Catedral,Cordoba,Spain,36.14,96
2022-01-17,Madrid Central,Madrid,Spain,26.73,111
2022-01-17,Glasgow Charing Cross,Glasgow,United Kingdom,35.64,135
2022-01-17,Edinburgh Cowgate,Edinburgh,United Kingdom,30.85,129
2022-01-17,London Elephant & Castle,London,United Kingdom,32.25,106
2022-01-17,London Kensington Holland Park,London,United Kingdom,19.72,103
2022-01-17,York Micklegate,York,United Kingdom,21.01,98
2022-01-18,Brussels Grand Place,Brussels,Belgium,27.39,89
2022-01-18,Prague Charles Bridge,Prague,Czech Republic,22.63,131
2022-01-18,Berlin Kurfürstendamm,Berlin,Germany,32.04,83
2022-01-18,Athens Monastiraki,Athens,Greece,32.99,115
2022-01-18,Pisa Centrale,Pisa,Italy,34.03,91
2022-01-18,Warsaw Old Town,Warsaw,Poland,29.21,76
2022-01-18,Lisbon Bairro Alto,Lisbon,Portugal,27.05,92
2022-01-18,Bratislava Presidential Palace,Bratislava,Slovakia,30.26,134
2022-01-18,Barcelona Gothic,Barcelona,Spain,24.93,136
2022-01-18,Barcelona Passeig de Gracia,Barcelona,Spain,29.74,132
2022-01-18,"Calpe Seafront, Costa Blanca",Calpe,Spain,26.05,131
2022-01-18,Córdoba Mezquita Catedral,Cordoba,Spain,21.52,102
2022-01-18,Madrid Central,Madrid,Spain,32.29,93
2022-01-18,Glasgow Charing Cross,Glasgow,United Kingdom,22.81,90
2022-01-18,Edinburgh Cowgate,Edinburgh,United Kingdom,32.67,86
2022-01-18,London Elephant & Castle,London,United Kingdom,23.09,110
2022-01-18,London Kensington Holland Park,London,United Kingdom,24.8,118
2022-01-18,York Micklegate,York,United Kingdom,26.73,117
2022-01-19,Brussels Grand Place,Brussels,Belgium,18.39,118
2022-01-19,Prague Charles Bridge,Prague,Czech Republic,19.19,86
2022-01-19,Berlin Kurfürstendamm,Berlin,Germany,31.9,131
2022-01-19,Athens Monastiraki,Athens,Greece,26.7,111
2022-01-19,Pisa Centrale,Pisa,Italy,24.0,128
2022-01-19,Warsaw Old Town,Warsaw,Poland,32.29,127
2022-01-19,Lisbon Bairro Alto,Lisbon,Portugal,33.26,120
2022-01-19,Bratislava Presidential Palace,Bratislava,Slovakia,23.61,139
2022-01-19,Barcelona Gothic,Barcelona,Spain,30.27,89
2022-01-19,Barcelona Passeig de Gracia,Barcelona,Spain,32.37,88
2022-01-19,"Calpe Seafront, Costa Blanca",Calpe,Spain,26.41,125
2022-01-19,Córdoba Mezquita Catedral,Cordoba,Spain,20.34,151
2022-01-19,Madrid Central,Madrid,Spain,32.21,119
2022-01-19,Glasgow Charing Cross,Glasgow,United Kingdom,23.47,121
2022-01-19,Edinburgh Cowgate,Edinburgh,United Kingdom,29.9,89
2022-01-19,London Elephant & Castle,London,United Kingdom,33.46,129
2022-01-19,London Kensington Holland Park,London,United Kingdom,31.25,118
2022-01-19,York Micklegate,York,United Kingdom,22.76,91
2022-01-20,Brussels Grand Place,Brussels,Belgium,24.84,143
2022-01-20,Prague Charles Bridge,Prague,Czech Republic,28.59,129
2022-01-20,Berlin Kurfürstendamm,Berlin,Germany,21.51,102
2022-01-20,Athens Monastiraki,Athens,Greece,27.22,121
2022-01-20,Pisa Centrale,Pisa,Italy,25.77,55
2022-01-20,Warsaw Old Town,Warsaw,Poland,27.35,127
2022-01-20,Lisbon Bairro Alto,Lisbon,Portugal,31.14,109
2022-01-20,Bratislava Presidential Palace,Bratislava,Slovakia,25.15,110
2022-01-20,Barcelona Gothic,Barcelona,Spain,21.58,94
2022-01-20,Barcelona Passeig de Gracia,Barcelona,Spain,35.67,118
2022-01-20,"Calpe Seafront, Costa Blanca",Calpe,Spain,31.49,103
2022-01-20,Córdoba Mezquita Catedral,Cordoba,Spain,23.71,113
2022-01-20,Madrid Central,Madrid,Spain,28.83,143
2022-01-20,Glasgow Charing Cross,Glasgow,United Kingdom,27.15,122
2022-01-20,Edinburgh Cowgate,Edinburgh,United Kingdom,36.01,111
2022-01-20,London Elephant & Castle,London,United Kingdom,23.98,91
2022-01-20,London Kensington Holland Park,London,United Kingdom,28.72,108
2022-01-20,York Micklegate,York,United Kingdom,32.12,106
2022-01-21,Brussels Grand Place,Brussels,Belgium,26.39,99
2022-01-21,Prague Charles Bridge,Prague,Czech Republic,27.7,134
2022-01-21,Berlin Kurfürstendamm,Berlin,Germany,27.81,117
2022-01-21,Athens Monastiraki,Athens,Greece,21.09,95
2022-01-21,Pisa Centrale,Pisa,Italy,22.07,104
2022-01-21,Warsaw Old Town,Warsaw,Poland,27.7,78
2022-01-21,Lisbon Bairro Alto,Lisbon,Portugal,31.48,114
2022-01-21,Bratislava Presidential Palace,Bratislava,Slovakia,33.04,75
2022-01-21,Barcelona Gothic,Barcelona,Spain,22.27,99
2022-01-21,Barcelona Passeig de Gracia,Barcelona,Spain,32.16,117
2022-01-21,"Calpe Seafront, Costa Blanca",Calpe,Spain,23.7,107
2022-01-21,Córdoba Mezquita Catedral,Cordoba,Spain,23.14,133
2022-01-21,Madrid Central,Madrid,Spain,21.93,90
2022-01-21,Glasgow Charing Cross,Glasgow,United Kingdom,28.34,96
2022-01-21,Edinburgh Cowgate,Edinburgh,United Kingdom,24.04,95
2022-01-21,London Elephant & Castle,London,United Kingdom,21.6,95
2022-01-21,London Kensington Holland Park,London,United Kingdom,32.25,95
2022-01-21,York Micklegate,York,United Kingdom,27.28,116
2022-01-22,Brussels Grand Place,Brussels,Belgium,37.19,109
2022-01-22,Prague Charles Bridge,Prague,Czech Republic,22.48,132
2022-01-22,Berlin Kurfürstendamm,Berlin,Germany,23.19,124
2022-01-22,Athens Monastiraki,Athens,Greece,38.98,157
2022-01-22,Pisa Centrale,Pisa,Italy,27.06,156
2022-01-22,Warsaw Old Town,Warsaw,Poland,34.49,118
2022-01-22,Lisbon Bairro Alto,Lisbon,Portugal,33.67,130
2022-01-22,Bratislava Presidential Palace,Bratislava,Slovakia,31.11,164
2022-01-22,Barcelona Gothic,Barcelona,Spain,20.77,141
2022-01-22,Barcelona Passeig de Gracia,Barcelona,Spain,31.75,163
2022-01-22,"Calpe Seafront, Costa Blanca",Calpe,Spain,30.2,113
2022-01-22,Córdoba Mezquita Catedral,Cordoba,Spain,25.93,164
2022-01-22,Madrid Central,Madrid,Spain,36.87,142
2022-01-22,Glasgow Charing Cross,Glasgow,United Kingdom,25.43,125
2022-01-22,Edinburgh Cowgate,Edinburgh,United Kingdom,25.15,118
2022-01-22,London Elephant & Castle,London,United Kingdom,27.5,157
2022-01-22,London Kensington Holland Park,London,United Kingdom,31.87,140
2022-01-22,York Micklegate,York,United Kingdom,25.49,164
2022-01-23,Brussels Grand Place,Brussels,Belgium,27.79,111
2022-01-23,Prague Charles Bridge,Prague,Czech Republic,25.19,111
2022-01-23,Berlin Kurfürstendamm,Berlin,Germany,31.6,150
2022-01-23,Athens Monastiraki,Athens,Greece,35.17,153
2022-01-23,Pisa Centrale,Pisa,Italy,36.57,130
2022-01-23,Warsaw Old Town,Warsaw,Poland,30.66,164
